Recency,Frequency,Monetary,Time,Label,Name,Blood Group,Phone Number,Lat,Long
2,50,12500,98,1,David Young,B+,743-107-8251,33.515607204649676,-111.95895885893414
0,13,3250,28,1,Vincent Cremeans,AB+,367-391-1765,33.58089391707926,-112.15050817575269
1,16,4000,35,1,Jason Munoz,AB-,561-723-7137,33.62814856802614,-112.00496708144776
2,20,5000,45,1,Becky Oconnor,AB-,257-511-0139,33.52506713218272,-112.07045877257596
1,24,6000,77,0,Mickey Chavez,A+,732-421-0985,33.36180673388215,-111.98908445565525
4,4,1000,4,0,Amanda Sanchez,O-,748-758-5125,33.42295485720783,-112.15518681828762
2,7,1750,14,1,Mark Frye,O-,204-314-6004,33.43954770469174,-112.06105006246032
1,12,3000,35,0,Erin Tabor,AB-,842-172-3112,33.62830925587211,-112.13877368432004
2,9,2250,22,1,Laverne Nardone,O-,967-295-8605,33.588711865778095,-112.1569721786158
5,46,11500,98,1,Jasper Beals,O+,484-287-4215,33.360061917417696,-112.12675183865682
4,23,5750,58,0,Jerry Gonzalas,B+,858-349-6741,33.54079699752423,-112.0319339992409
0,3,750,4,0,Janet Tomasek,O-,719-166-3729,33.30039626195114,-111.99300135626193
2,10,2500,28,1,Douglas Cook,A+,212-706-6707,33.379198408480455,-112.19167164629137
1,13,3250,47,0,Steven Tomlin,A-,629-205-0580,33.34682050697536,-112.10649574075819
2,6,1500,15,1,Corina Pineda,AB+,741-759-5781,33.48365163099,-111.94742611869846
2,5,1250,11,1,Frank Chung,AB-,166-305-0731,33.61812957599396,-112.0642264080381
2,14,3500,48,1,Martin Vierra,A-,499-485-1390,33.57748541451002,-112.17675444023469
2,15,3750,49,1,Tomasa Brown,O-,691-231-6834,33.55203666820537,-112.15278101097837
2,6,1500,15,1,Mary Smith,AB-,667-577-8363,33.442141562560636,-112.0614692727971
2,3,750,4,1,Lorraine Gonzalez,A-,692-754-2247,33.2547326622108,-112.03884872033798
2,3,750,4,1,Alicia Flens,AB-,819-085-2336,33.431054909999986,-111.97261296243686
4,11,2750,28,0,Michael Johnson,B+,723-690-8728,33.69742086692289,-112.06035534741477
2,6,1500,16,1,Carey Gipson,AB-,948-579-4539,33.23266152816947,-112.0326031025243
2,6,1500,16,1,Kayla Ibarra,B-,462-709-3092,33.53430769652518,-112.18245497420033
9,9,2250,16,0,Blanca Roden,A+,947-087-7099,33.604069614938425,-112.05358965051283
4,14,3500,40,0,Frederick Desotel,AB-,608-155-8810,33.611475871139476,-112.02080834898118
4,6,1500,14,0,James Mullins,O-,544-328-5303,33.460734567255074,-111.9568571700618
4,12,3000,34,1,Richard Moore,A-,335-654-4456,33.51116431241017,-111.99907191377834
4,5,1250,11,1,Sandra Clark,A+,849-813-8636,33.52333195187522,-112.04883346860846
4,8,2000,21,0,Joseph Sawyer,AB+,789-022-0598,33.33765672450626,-112.07608997339338
1,14,3500,58,0,Williams Montes,A-,722-224-7988,33.42115738680485,-112.1451753008527
4,10,2500,28,1,Ana Flowers,O+,828-227-5149,33.358031109292554,-112.17945754599455
4,10,2500,28,1,Pam Steele,A-,370-116-6056,33.563577142747356,-112.08043091260286
4,9,2250,26,1,Jesica Vandercook,B-,966-776-1483,33.42294587476727,-112.14075912226198
2,16,4000,64,0,Mark Postlewait,B+,553-577-3900,33.361911523127105,-111.96087299525149
2,8,2000,28,1,David Olson,A+,707-785-7665,33.63597630939067,-112.00685432178626
2,12,3000,47,1,George Kopp,B-,146-641-6193,33.34242281623823,-112.1808738297737
4,6,1500,16,1,Tiffany Anderson,O-,201-883-4357,33.23556958130582,-112.02020606152838
2,14,3500,57,1,Ollie Potts,AB-,705-531-8751,33.397165609919185,-111.95362228449507
4,7,1750,22,1,Kevin Paar,A+,560-062-7701,33.28177996202892,-112.12075498978025
2,13,3250,53,1,Kraig Day,B+,839-122-0419,33.24796013915753,-112.09879672050634
2,5,1250,16,0,Ray Smullen,B-,804-771-6137,33.42944624260563,-111.95082045557754
2,5,1250,16,1,Herbert Quarles,B-,841-087-5861,33.52376027775569,-112.09963483075136
2,5,1250,16,0,Alisha Morris,B+,258-880-7073,33.43409496637113,-112.0146365684475
4,20,5000,69,1,Raymond Sines,B+,477-367-3073,33.51894090091321,-111.99573358936013
4,9,2250,28,1,Donald Coleman,A+,127-420-3546,33.31294669150655,-112.00368887736809
2,9,2250,36,0,Gregory Wrisley,B-,912-803-0241,33.43485080650744,-112.05022708076201
2,2,500,2,0,Chanell Stanesic,B-,841-884-6587,33.33454020884085,-112.17495957349573
2,2,500,2,0,Faith Elrod,B-,419-108-9017,33.63146349902445,-112.07481198524911
2,2,500,2,0,Hazel Emch,A-,293-713-2699,33.20489247758155,-112.09531020477738
2,11,2750,46,0,Norine Sears,O+,915-792-1990,33.48031283421875,-112.18881999620235
2,11,2750,46,1,Thomas Matheson,A-,429-208-2749,33.54765956717487,-111.95178192853793
2,6,1500,22,0,Lakesha Graham,O+,810-120-6320,33.31487663545121,-112.15307501426518
